label,message
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,"It means u could not keep ur words. Best Regards, HackTheBox."
ham,"*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me? Best Regards, HackTheBox."
ham,"how tall are you princess? Best Regards, HackTheBox."
ham,"We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that Best Regards, HackTheBox."
ham,"Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already? Best Regards, HackTheBox."
ham,"K.k.how is your business now? Best Regards, HackTheBox."
ham,"HELLO PEACH! MY CAKE TASTS LUSH! Best Regards, HackTheBox."
ham,"Actually i'm waiting for 2 weeks when they start putting ad. Best Regards, HackTheBox."
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar Best Regards, HackTheBox."
ham,"Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx Best Regards, HackTheBox."
ham,"Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you . Best Regards, HackTheBox."
ham,"Please tell me you have some of that special stock you were talking about Best Regards, HackTheBox."
ham,"Yo, you around? Just got my car back Best Regards, HackTheBox."
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me Best Regards, HackTheBox."
ham,"Thnx dude. u guys out 2nite? Best Regards, HackTheBox."
ham,"Yup bathe liao... Best Regards, HackTheBox."
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV Best Regards, HackTheBox."
ham,"Hey company elama po mudyadhu. Best Regards, HackTheBox."
ham,"How much you got for cleaning Best Regards, HackTheBox."
ham,"He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar? Best Regards, HackTheBox."
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day! Best Regards, HackTheBox."
ham,"If you have belive me. Come to my home. Best Regards, HackTheBox."
ham,"What are youdoing later? Sar xxx Best Regards, HackTheBox."
ham,"Shall i send that exe to your mail id. Best Regards, HackTheBox."
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,"I want to go to perumbavoor Best Regards, HackTheBox."
ham,"As in i want custom officer discount oh. Best Regards, HackTheBox."
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,"Wat uniform? In where get? Best Regards, HackTheBox."
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u  Best Regards, HackTheBox."
spam,RCT' THNQ Adrian for U text. Rgds Vatian
ham,"Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not. Best Regards, HackTheBox."
ham,"Just getting back home Best Regards, HackTheBox."
ham,"U so lousy, run already come back then half dead... Hee... Best Regards, HackTheBox."
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season. Best Regards, HackTheBox."
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
ham,"Or just do that 6times Best Regards, HackTheBox."
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt Best Regards, HackTheBox."
ham,"What r u cooking me for dinner? Best Regards, HackTheBox."
ham,"When i have stuff to sell i.ll tell you Best Regards, HackTheBox."
ham,"I'm in solihull, | do you want anything? Best Regards, HackTheBox."
ham,"Watching ajith film ah? Best Regards, HackTheBox."
ham,"Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times? Best Regards, HackTheBox."
ham,"Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out! Best Regards, HackTheBox."
ham,"Dear we got  &lt;#&gt;  dollars hi hi Best Regards, HackTheBox."
ham,"How much for an eighth? Best Regards, HackTheBox."
ham,"Its sunny in california. The weather's just cool Best Regards, HackTheBox."
ham,"Dont let studying stress you out. L8r. Best Regards, HackTheBox."
ham,"Ok... But bag again.. Best Regards, HackTheBox."
ham,"In that case I guess I'll see you at campus lodge Best Regards, HackTheBox."
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later. Best Regards, HackTheBox."
spam,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx Best Regards, HackTheBox."
ham,"Yes:)here tv is always available in work place.. Best Regards, HackTheBox."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me... Best Regards, HackTheBox."
ham,"Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ? Best Regards, HackTheBox."
ham,"Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss* Best Regards, HackTheBox."
ham,"Just sleeping..and surfing Best Regards, HackTheBox."
ham,"I dont know exactly could you ask chechi. Best Regards, HackTheBox."
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,"And do you have any one that can teach me how to ship cars. Best Regards, HackTheBox."
ham,"The monthly amount is not that terrible and you will not pay anything till 6months after finishing school. Best Regards, HackTheBox."
ham,"Oh Howda gud gud.. Mathe en samachara chikku:-) Best Regards, HackTheBox."
ham,"Thanks da thangam, i feel very very happy dear. I also miss you da. Best Regards, HackTheBox."
ham,"We left already we at orchard now. Best Regards, HackTheBox."
ham,"Not planned yet :)going to join company on jan 5 only.don know what will happen after that. Best Regards, HackTheBox."
ham,"Aight, can you text me the address? Best Regards, HackTheBox."
ham,"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans. Best Regards, HackTheBox."
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it! Best Regards, HackTheBox."
ham,"I AM AT THE GAS STATION. GO THERE. Best Regards, HackTheBox."
ham,"Ill call you evening ill some ideas. Best Regards, HackTheBox."
ham,"I have no idea where you are Best Regards, HackTheBox."
ham,"Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house? Best Regards, HackTheBox."
ham,"She went to attend another two rounds today..but still did't reach home.. Best Regards, HackTheBox."
ham,"Aiyar hard 2 type. U later free then tell me then i call n scold n tell u. Best Regards, HackTheBox."
ham,"What's up. Do you want me to come online? Best Regards, HackTheBox."
ham,"U in town alone? Best Regards, HackTheBox."
ham,"The evo. I just had to download flash. Jealous? Best Regards, HackTheBox."
ham,"Ok... I din get ur msg... Best Regards, HackTheBox."
ham,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers. Best Regards, HackTheBox."
ham,"Haven't seen my facebook, huh? Lol! Best Regards, HackTheBox."
ham,"Ü only send me the contents page... Best Regards, HackTheBox."
ham,"Just got outta class gonna go gym. Best Regards, HackTheBox."
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho Best Regards, HackTheBox."
ham,"Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...   Best Regards, HackTheBox."
ham,"My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7 Best Regards, HackTheBox."
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."" Best Regards, HackTheBox."
ham,"How come u got nothing to do? Best Regards, HackTheBox."
ham,"K.:)you are the only girl waiting in reception ah? Best Regards, HackTheBox."
ham,"Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way? Best Regards, HackTheBox."
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later. Best Regards, HackTheBox."
ham,"You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill Best Regards, HackTheBox."
ham,"Hhahhaahahah rofl wtf nig was leonardo in your room or something Best Regards, HackTheBox."
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love Best Regards, HackTheBox."
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later. Best Regards, HackTheBox."
ham,"* Will be september by then! Best Regards, HackTheBox."
ham,"I will lick up every drop :) are you ready to use your mouth as well? Best Regards, HackTheBox."
ham,"Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay Best Regards, HackTheBox."
ham,"Have you started in skye Best Regards, HackTheBox."
ham,"Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come... Best Regards, HackTheBox."
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
ham,"Din i tell u jus now 420 Best Regards, HackTheBox."
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,"K.k.this month kotees birthday know? Best Regards, HackTheBox."
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol! Best Regards, HackTheBox."
ham,"Are you wet right now? Best Regards, HackTheBox."
ham,"Ok then i will come to ur home after half an hour Best Regards, HackTheBox."
ham,"K..then come wenever u lik to come and also tel vikky to come by getting free time..:-) Best Regards, HackTheBox."
ham,"Our Prashanthettan's mother passed away last night. pray for her and family. Best Regards, HackTheBox."
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed? Best Regards, HackTheBox."
ham,"Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....  Best Regards, HackTheBox."
ham,"Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside. Best Regards, HackTheBox."
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... ' Best Regards, HackTheBox."
ham,"K..u also dont msg or reply to his msg.. Best Regards, HackTheBox."
ham,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night.... Best Regards, HackTheBox."
ham,"Will do. Have a good day Best Regards, HackTheBox."
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"" Best Regards, HackTheBox."
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,"I only haf msn. It's yijue@hotmail.com Best Regards, HackTheBox."
ham,"K tell me anything about you. Best Regards, HackTheBox."
ham,"Oh thanks a lot..i already bought 2 eggs .. Best Regards, HackTheBox."
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe Best Regards, HackTheBox."
ham,"Ic. There are a lotta childporn cars then. Best Regards, HackTheBox."
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that Best Regards, HackTheBox."
ham,"Yeah sure I'll leave in a min Best Regards, HackTheBox."
ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon!  Best Regards, HackTheBox."
ham,"Sary just need Tim in the bollox &it hurt him a lot so he tol me! Best Regards, HackTheBox."
ham,"Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay. Best Regards, HackTheBox."
ham,"I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them. Best Regards, HackTheBox."
ham,"What time do u get out? Best Regards, HackTheBox."
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,"How abt making some of the pics bigger? Best Regards, HackTheBox."
ham,"Yo we are watching a movie on netflix Best Regards, HackTheBox."
ham,"R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE Best Regards, HackTheBox."
ham,"Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator! Best Regards, HackTheBox."
ham,"Sorry de i went to shop. Best Regards, HackTheBox."
ham,"Dear how is chechi. Did you talk to her Best Regards, HackTheBox."
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us Best Regards, HackTheBox."
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing Best Regards, HackTheBox."
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,"Haha... dont be angry with yourself... Take it as a practice for the real thing. =)  Best Regards, HackTheBox."
ham,"U wan 2 haf lunch i'm in da canteen now. Best Regards, HackTheBox."
ham,"I‘m going to try for 2 months ha ha only joking Best Regards, HackTheBox."
ham,", how's things? Just a quick question. Best Regards, HackTheBox."
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,"Ok. Best Regards, HackTheBox."
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
ham,"You said not now. No problem. When you can. Let me know. Best Regards, HackTheBox."
ham,"Long beach lor. Expected... U having dinner now? Best Regards, HackTheBox."
ham,"No rushing. I'm not working. I'm in school so if we rush we go hungry. Best Regards, HackTheBox."
ham,"I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u Best Regards, HackTheBox."
ham,"Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng Best Regards, HackTheBox."
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow. Best Regards, HackTheBox."
ham,"At 7 we will go ok na. Best Regards, HackTheBox."
ham,"Ok can... Best Regards, HackTheBox."
ham,"Pls i wont belive god.not only jesus. Best Regards, HackTheBox."
ham,"Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night Best Regards, HackTheBox."
ham,"U reach orchard already? U wan 2 go buy tickets first? Best Regards, HackTheBox."
ham,"Lol they don't know about my awesome phone. I could click delete right now if I want. Best Regards, HackTheBox."
ham,"Wah... Okie okie... Muz make use of e unlimited... Haha...  Best Regards, HackTheBox."
ham,"Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing Best Regards, HackTheBox."
ham,"Xy trying smth now. U eat already? We havent... Best Regards, HackTheBox."
ham,"S.this will increase the chance of winning. Best Regards, HackTheBox."
ham,"Oh fine, I'll be by tonight Best Regards, HackTheBox."
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,"Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900... Best Regards, HackTheBox."
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . . Best Regards, HackTheBox."
ham,"Alright took the morphine. Back in yo. Best Regards, HackTheBox."
ham,"Who u talking about? Best Regards, HackTheBox."
ham,"Thank you baby! I cant wait to taste the real thing... Best Regards, HackTheBox."
ham,"Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late. Best Regards, HackTheBox."
ham,"Dare i ask... Any luck with sorting out the car? Best Regards, HackTheBox."
ham,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams Best Regards, HackTheBox."
ham,"ELLO BABE U OK? Best Regards, HackTheBox."
ham,"Well there's still a bit left if you guys want to tonight Best Regards, HackTheBox."
ham,"Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again Best Regards, HackTheBox."
ham,"Stupid.its not possible Best Regards, HackTheBox."
ham,"Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week Best Regards, HackTheBox."
ham,"Oh k.i think most of wi and nz players unsold. Best Regards, HackTheBox."
ham,"yes baby! I need to stretch open your pussy! Best Regards, HackTheBox."
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."" Best Regards, HackTheBox."
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy Best Regards, HackTheBox."
ham,"Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon... Best Regards, HackTheBox."
ham,"So why didnt you holla? Best Regards, HackTheBox."
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,"S:-)if we have one good partnership going we will take lead:) Best Regards, HackTheBox."
ham,"I was slept that time.you there? Best Regards, HackTheBox."
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss* Best Regards, HackTheBox."
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
ham,"Hi' Test on  &lt;#&gt; rd .... Best Regards, HackTheBox."
ham,"Thanks for sending this mental ability question.. Best Regards, HackTheBox."
ham,"PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx Best Regards, HackTheBox."
ham,"Apo all other are mokka players only Best Regards, HackTheBox."
spam,"449050000301 You have won a £2,000 price! To claim, call 09050000301."
ham,"Hope you are having a great new semester. Do wish you the very best. You are made for greatness. Best Regards, HackTheBox."
ham,"Hows the champ just leaving glasgow! Best Regards, HackTheBox."
ham,"Dear we are going to our rubber place Best Regards, HackTheBox."
ham,"It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one. Best Regards, HackTheBox."
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins Best Regards, HackTheBox."
ham,"Aight yo, dats straight dogg Best Regards, HackTheBox."
ham,"U can call now... Best Regards, HackTheBox."
ham,"Velly good, yes please! Best Regards, HackTheBox."
ham,"Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock. Best Regards, HackTheBox."
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
ham,"Much better now thanks lol Best Regards, HackTheBox."
ham,"I'm working technical support :)voice process.networking field. Best Regards, HackTheBox."
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U Best Regards, HackTheBox."
ham,"Be happy there. I will come after noon Best Regards, HackTheBox."
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
ham,"S s..first time..dhoni rocks... Best Regards, HackTheBox."
ham,"Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here.... Best Regards, HackTheBox."
ham,"Hey i will be late ah... Meet you at 945+ Best Regards, HackTheBox."
ham,"Some of them told accenture is not confirm. Is it true. Best Regards, HackTheBox."
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,"Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear Best Regards, HackTheBox."
ham,"ARR birthday today:) i wish him to get more oscar. Best Regards, HackTheBox."
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
ham,"K come to nordstrom when you're done Best Regards, HackTheBox."
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
ham,"I asked sen to come chennai and search for job. Best Regards, HackTheBox."
ham,"Hahaha..use your brain dear Best Regards, HackTheBox."
ham,"No da. I am happy that we sit together na Best Regards, HackTheBox."
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,"Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry. Best Regards, HackTheBox."
ham,"Crucify is c not s. You should have told me earlier. Best Regards, HackTheBox."
ham,"Ugh. Gotta drive back to sd from la. My butt is sore. Best Regards, HackTheBox."
ham,"Then just eat a shit and wait for ur monkey face bitch.......... U asshole.................. Best Regards, HackTheBox."
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery
ham,"How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-. Best Regards, HackTheBox."
ham,"K. I will sent it again Best Regards, HackTheBox."
ham,"Does not operate after  &lt;#&gt;  or what Best Regards, HackTheBox."
ham,"Cos darren say ü considering mah so i ask ü... Best Regards, HackTheBox."
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,"I dont want to hear philosophy. Just say what happen Best Regards, HackTheBox."
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.. Best Regards, HackTheBox."
ham,"Can do lor... Best Regards, HackTheBox."
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
ham,"Would really appreciate if you call me. Just need someone to talk to. Best Regards, HackTheBox."
ham,"Ok I'm gonna head up to usf in like fifteen minutes Best Regards, HackTheBox."
ham,"Thanks. Fills me with complete calm and reassurance!  Best Regards, HackTheBox."
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
ham,"I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay Best Regards, HackTheBox."
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1. Best Regards, HackTheBox."
ham,"Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind... Best Regards, HackTheBox."
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit Best Regards, HackTheBox."
ham,"Ok k..sry i knw 2 siva..tats y i askd.. Best Regards, HackTheBox."
ham,"Thanks for loving me so. You rock Best Regards, HackTheBox."
ham,"I wont touch you with out your permission. Best Regards, HackTheBox."
ham,"Shall i ask one thing if you dont mistake me. Best Regards, HackTheBox."
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:) Best Regards, HackTheBox."
ham,"Great. So should i send you my account number. Best Regards, HackTheBox."
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,"Yeah imma come over cause jay wants to do some drugs Best Regards, HackTheBox."
ham,"Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been?  Best Regards, HackTheBox."
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin... Best Regards, HackTheBox."
ham,"Then dun wear jeans lor... Best Regards, HackTheBox."
ham,"My drive can only be read. I need to write Best Regards, HackTheBox."
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,"It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure Best Regards, HackTheBox."
